很好，谢谢。	hěn hǎo xièxie	Fine, thanks.	1.0	1.0
很高兴认识你。	hěn gāoxìng rènshi nǐ	It's nice meeting you.	1.0	0.5
你做什么工作？	nǐ zuò shénme gōngzuò	What's your job?	1.0	0.5
你知道你在做什么吗？	nǐ zhīdào nǐ zài zuò shénme ma	What do you think you are doing?	1.143	0.714
你的衣服是什么颜色？	nǐ de yīfu shì shénme yánsè	What color is your dress?	1.167	1.0
他在她的旁边。	tā zài tā de pángbiān	He is beside her.	1.2	1.0
他不喜欢吃鱼。	tā bù xǐhuan chī yú	He doesn't care for fish.	1.2	1.0
都是我的错。	dōu shì wǒ de cuò	It's all my fault.	1.2	0.8
你喜欢我就高兴。	nǐ xǐhuan wǒ jiù gāoxìng	I'm glad you enjoyed it.	1.2	0.6
他也学习汉语。	tā yě xuéxí Hànyǔ	He studies Chinese as well.	1.25	0.75
你觉得怎么样？	nǐ juéde zěnmeyàng	What do you think of it?	1.333	1.0
你认为你能来吗？	nǐ rènwéi nǐ néng lái ma	Do you think you can come?	1.333	0.833
你记得她的名字吗？	nǐ jìde tā de míngzi ma	Do you recollect her name?	1.333	0.667
我怎么知道。	wǒ zěnme zhīdào	How should I know.	1.333	0.667
妈妈准备了好吃的东西给我。	māma zhǔnbèi le hǎochī de dōngxi gěi wǒ	Mother has something delicious in store for me.	1.375	0.875
我看你不应该。	wǒ kàn nǐ bù yīnggāi	I don't think you ought to.	1.4	1.0
你应该去看医生。	nǐ yīnggāi qù kàn yīshēng	You should see a doctor.	1.4	1.0
我去我叔叔家。	wǒ qù wǒ shūshu jiā	I am going to my uncle's.	1.4	0.8
我很愿意。谢谢你。	wǒ hěn yuànyì xièxie nǐ	I do very much. Thank you.	1.4	0.8
你能告诉我去火车站最近的路吗？	nǐ néng gàosu wǒ qù huǒchēzhàn zuìjìn de lù ma	Can you tell me the nearest way to the railway station?	1.4	0.7
我喜欢在图书馆学习。	wǒ xǐhuan zài túshūguǎn xuéxí	I like to study in the library.	1.4	0.6
有的人爱先做难做的工作。	yǒude rén ài xiān zuò nán zuò de gōngzuò	Some people tackle the difficult jobs first.	1.4	0.4
你明白了吗？	nǐ míngbai le ma	Do you understand?	1.5	0.75
我不太清楚。	wǒ bù tài qīngchu	I'm not really sure.	1.5	0.75
你会习惯的。	nǐ huì xíguàn de	You'll get used to it.	1.5	0.75
她把我介绍给她的朋友。	tā bǎ wǒ jièshào gěi tā de péngyou	She introduced me to her friend.	1.5	0.75
即使你不喜欢这工作，你也得做。	jíshǐ nǐ bù xǐhuan zhè gōngzuò nǐ yě dé zuò	Even though you do not like it, you must do it.	1.5	0.7
我不明白你的意思。	wǒ bù míngbai nǐ de yìsi	I can't apprehend your meaning.	1.5	0.667
他是个有个性的人。	tā shì gè yǒu gèxìng de rén	He is a man of individuality.	1.571	0.857
你以为你在跟谁说话？	nǐ yǐwéi nǐ zài gēn shéi shuōhuà	Who do you think you're talking to?	1.571	0.714
他住在学校的宿舍里。	tā zhù zài xuéxiào de sùshè lǐ	He hangs out in the school dormitory.	1.571	0.571
他昨天没打扫房间。	tā zuótiān méi dǎsǎo fángjiān	He didn't clean the room yesterday.	1.6	1.0
他昨天打扫房间吗？	tā zuótiān dǎsǎo fángjiān ma	Did he clean the room yesterday?	1.6	1.0
你赚了多少钱？	nǐ zhuàn le duōshao qián	How much money did you make?	1.6	0.8
一切都会好的。	yīqiè dūhuì hǎo de	Everything will be OK.	1.6	0.8
我的狗不在旁边我就很寂寞。	wǒ de gǒu bùzài pángbiān wǒ jiù hěn jìmò	I feel very lonely without my dog.	1.6	0.8
这方便得多了。	zhè fāngbiàn dé duō le	It's much more convenient.	1.6	0.6
是什么使他生病？	shì shénme shǐ tā shēngbìng	What caused his illness?	1.6	0.6
黑板在教室的前面。	hēibǎn zài jiàoshì de qiánmiàn	The blackboard is in the front of the classroom.	1.6	0.4
他最喜欢吃的菜是烤鸭。	tā zuì xǐhuan chī de cài shì kǎoyā	His favorite dish is roast duck.	1.625	0.875
他感冒了。	tā gǎnmào le	He caught a cold.	1.667	1.0
请帮我喂我的猫好吗？	qǐng bāng wǒ wèi wǒ de māo hǎo ma	Will you feed my cat for me?	1.667	0.889
你到底是怎么知道的？	nǐ dàodǐ shì zěnme zhīdào de	How on earth did you know it?	1.667	0.667
